metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1641485346,10.000000,,,,,,,,,,,,,,,
vus_max,1641485346,130.000000,,,,,,,,,,,,,,,
vus,1641485347,10.000000,,,,,,,,,,,,,,,
vus_max,1641485347,130.000000,,,,,,,,,,,,,,,
vus,1641485348,10.000000,,,,,,,,,,,,,,,
vus_max,1641485348,130.000000,,,,,,,,,,,,,,,
http_reqs,1641485349,1.000000,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,trace_header=00-8ea233ac79e226bfed1f3c055ea6f009-bbaf35f24e495dc8-01
http_req_duration,1641485349,3093.757100,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,trace_header=00-8ea233ac79e226bfed1f3c055ea6f009-bbaf35f24e495dc8-01
http_req_blocked,1641485349,513.658600,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,trace_header=00-8ea233ac79e226bfed1f3c055ea6f009-bbaf35f24e495dc8-01
http_req_connecting,1641485349,99.348000,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,trace_header=00-8ea233ac79e226bfed1f3c055ea6f009-bbaf35f24e495dc8-01
http_req_tls_handshaking,1641485349,292.207100,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,trace_header=00-8ea233ac79e226bfed1f3c055ea6f009-bbaf35f24e495dc8-01
http_req_sending,1641485349,4.363800,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-8ea233ac79e226bfed1f3c055ea6f009.jpg,trace_header=00-8ea233ac79e226bfed1f3c055ea6f009-bbaf35f24e495dc8-01
