metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1641462545,20.000000,,,,,,,,,,,,,,,
vus_max,1641462545,20.000000,,,,,,,,,,,,,,,
vus,1641462546,20.000000,,,,,,,,,,,,,,,
vus_max,1641462546,20.000000,,,,,,,,,,,,,,,
vus,1641462547,20.000000,,,,,,,,,,,,,,,
vus_max,1641462547,20.000000,,,,,,,,,,,,,,,
vus,1641462548,20.000000,,,,,,,,,,,,,,,
vus_max,1641462548,20.000000,,,,,,,,,,,,,,,
http_reqs,1641462548,1.000000,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,HTTP/1.1,constant,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,trace_header=00-3548932cd943f6e741830b25fc7e25a4-6376fed410150986-01
http_req_duration,1641462548,3727.860300,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,HTTP/1.1,constant,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,trace_header=00-3548932cd943f6e741830b25fc7e25a4-6376fed410150986-01
http_req_blocked,1641462548,508.980200,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,HTTP/1.1,constant,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,trace_header=00-3548932cd943f6e741830b25fc7e25a4-6376fed410150986-01
http_req_connecting,1641462548,108.964300,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,HTTP/1.1,constant,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,trace_header=00-3548932cd943f6e741830b25fc7e25a4-6376fed410150986-01
http_req_tls_handshaking,1641462548,272.399800,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,HTTP/1.1,constant,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,trace_header=00-3548932cd943f6e741830b25fc7e25a4-6376fed410150986-01
http_req_sending,1641462548,4.379300,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,HTTP/1.1,constant,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-3548932cd943f6e741830b25fc7e25a4.jpg,trace_header=00-3548932cd943f6e741830b25fc7e25a4-6376fed410150986-01
