trace_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,f1_cold_start,f2_cold_start
1-61d6d0e3-d89f22c2db85bf8074938ff2,2022-01-06 12:22:11.914000,2022-01-06 12:22:11.930000,2022-01-06 12:22:11.940706,2022-01-06 12:22:11.941248,2022-01-06 12:22:11.942289,2022-01-06 12:22:12.020819,2022-01-06 12:22:13.679000,2022-01-06 12:22:13.758072,2022-01-06 12:22:13.758987,2022-01-06 12:22:13.778801,2022-01-06 12:22:13.824687,2022-01-06 12:22:13.825792,2022-01-06 12:22:13.857238,0,0
1-61d6ce96-d8c06e31cc0c8abcf4049650,2022-01-06 12:12:22.597000,2022-01-06 12:12:22.613000,2022-01-06 12:12:22.625300,2022-01-06 12:12:22.625928,2022-01-06 12:12:22.626904,2022-01-06 12:12:22.753877,2022-01-06 12:12:24.153000,2022-01-06 12:12:24.230175,2022-01-06 12:12:24.231138,2022-01-06 12:12:24.251037,2022-01-06 12:12:24.275333,2022-01-06 12:12:24.276362,2022-01-06 12:12:24.317179,0,0
1-61d6cfd5-faf4ff82562e978775ab532d,2022-01-06 12:17:42.224000,2022-01-06 12:17:42.240000,2022-01-06 12:17:42.250293,2022-01-06 12:17:42.250853,2022-01-06 12:17:42.251901,2022-01-06 12:17:42.327314,2022-01-06 12:17:44.037000,2022-01-06 12:17:44.105460,2022-01-06 12:17:44.110166,2022-01-06 12:17:44.133466,2022-01-06 12:17:44.270475,2022-01-06 12:17:44.272955,2022-01-06 12:17:44.324962,0,0
1-61d6cd9c-0602d32d49f959747f7f6068,2022-01-06 12:08:12.579000,2022-01-06 12:08:12.595000,2022-01-06 12:08:12.603988,2022-01-06 12:08:12.604529,2022-01-06 12:08:12.605465,2022-01-06 12:08:12.710892,2022-01-06 12:08:14.198000,2022-01-06 12:08:14.256616,2022-01-06 12:08:14.257573,2022-01-06 12:08:14.274767,2022-01-06 12:08:14.299197,2022-01-06 12:08:14.300239,2022-01-06 12:08:14.341087,0,0
1-61d6d151-1d562a3b92cfa4b9ffb07d3a,2022-01-06 12:24:01.575000,2022-01-06 12:24:01.592000,2022-01-06 12:24:01.603580,2022-01-06 12:24:01.604104,2022-01-06 12:24:01.605052,2022-01-06 12:24:01.678864,2022-01-06 12:24:02.988000,2022-01-06 12:24:03.091373,2022-01-06 12:24:03.092322,2022-01-06 12:24:03.110695,2022-01-06 12:24:03.135438,2022-01-06 12:24:03.136499,2022-01-06 12:24:03.165092,0,0
1-61d6d093-f37a49fa1032fcc522227d4e,2022-01-06 12:20:51.999000,2022-01-06 12:20:52.020000,2022-01-06 12:20:52.028774,2022-01-06 12:20:52.029461,2022-01-06 12:20:52.030449,2022-01-06 12:20:52.120397,2022-01-06 12:20:53.312000,2022-01-06 12:20:53.371096,2022-01-06 12:20:53.372096,2022-01-06 12:20:53.392159,2022-01-06 12:20:53.415325,2022-01-06 12:20:53.416384,2022-01-06 12:20:53.444598,0,0
1-61d6ccf2-4c795f9ef6f4dfef1939be39,2022-01-06 12:05:23.064000,2022-01-06 12:05:23.084000,2022-01-06 12:05:23.092244,2022-01-06 12:05:23.092991,2022-01-06 12:05:23.094076,2022-01-06 12:05:23.185005,2022-01-06 12:05:24.945000,2022-01-06 12:05:25.012652,2022-01-06 12:05:25.013712,2022-01-06 12:05:25.029418,2022-01-06 12:05:25.054610,2022-01-06 12:05:25.055771,2022-01-06 12:05:25.098739,0,0
1-61d6cd6a-318749b0f3a8b9c49498fa84,2022-01-06 12:07:22.707000,2022-01-06 12:07:22.725000,2022-01-06 12:07:22.735903,2022-01-06 12:07:22.736558,2022-01-06 12:07:22.737661,2022-01-06 12:07:22.809266,2022-01-06 12:07:24.197000,2022-01-06 12:07:24.264382,2022-01-06 12:07:24.265439,2022-01-06 12:07:24.284176,2022-01-06 12:07:24.308454,2022-01-06 12:07:24.309443,2022-01-06 12:07:24.339541,0,0
1-61d6cbe4-4c22855bf0775acd59e94e73,2022-01-06 12:00:53.406000,2022-01-06 12:00:53.420000,2022-01-06 12:00:53.430068,2022-01-06 12:00:53.430748,2022-01-06 12:00:53.432010,2022-01-06 12:00:53.510649,2022-01-06 12:00:55.392000,2022-01-06 12:00:55.469477,2022-01-06 12:00:55.471399,2022-01-06 12:00:55.491952,2022-01-06 12:00:55.547974,2022-01-06 12:00:55.550188,2022-01-06 12:00:55.583311,0,0
1-61d6cf21-e80a4089dd805b2a0d82be3e,2022-01-06 12:14:42.426000,2022-01-06 12:14:42.441000,2022-01-06 12:14:42.451033,2022-01-06 12:14:42.451562,2022-01-06 12:14:42.452490,2022-01-06 12:14:42.517933,2022-01-06 12:14:43.473000,2022-01-06 12:14:43.538926,2022-01-06 12:14:43.539967,2022-01-06 12:14:43.561882,2022-01-06 12:14:43.584885,2022-01-06 12:14:43.585882,2022-01-06 12:14:43.611216,0,0
1-61d6ced6-7c58b325b74e4058665f564e,2022-01-06 12:13:27.259000,2022-01-06 12:13:27.275000,2022-01-06 12:13:27.285677,2022-01-06 12:13:27.286222,2022-01-06 12:13:27.287229,2022-01-06 12:13:27.448896,2022-01-06 12:13:28.617000,2022-01-06 12:13:28.698730,2022-01-06 12:13:28.699681,2022-01-06 12:13:28.741429,2022-01-06 12:13:28.763708,2022-01-06 12:13:28.764700,2022-01-06 12:13:28.792662,0,0
1-61d6cd6f-7580d2066e2616faf6cd4d36,2022-01-06 12:07:27.920000,2022-01-06 12:07:27.938000,2022-01-06 12:07:27.949679,2022-01-06 12:07:27.950251,2022-01-06 12:07:27.951237,2022-01-06 12:07:28.017173,2022-01-06 12:07:28.957000,2022-01-06 12:07:29.025885,2022-01-06 12:07:29.026838,2022-01-06 12:07:29.045097,2022-01-06 12:07:29.069510,2022-01-06 12:07:29.070548,2022-01-06 12:07:29.100114,0,0
