metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1641509593,20.000000,,,,,,,,,,,,,,,
vus_max,1641509593,20.000000,,,,,,,,,,,,,,,
vus,1641509594,20.000000,,,,,,,,,,,,,,,
vus_max,1641509594,20.000000,,,,,,,,,,,,,,,
http_reqs,1641509594,1.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,HTTP/2.0,constant,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,xray_header=Root=1-61d772d8-96f088aa98b05a9a53565877
http_req_duration,1641509594,1991.909200,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,HTTP/2.0,constant,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,xray_header=Root=1-61d772d8-96f088aa98b05a9a53565877
http_req_blocked,1641509594,190.003800,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,HTTP/2.0,constant,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,xray_header=Root=1-61d772d8-96f088aa98b05a9a53565877
http_req_connecting,1641509594,4.104200,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,HTTP/2.0,constant,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,xray_header=Root=1-61d772d8-96f088aa98b05a9a53565877
http_req_tls_handshaking,1641509594,159.344700,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,HTTP/2.0,constant,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,xray_header=Root=1-61d772d8-96f088aa98b05a9a53565877
http_req_sending,1641509594,29.749500,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,HTTP/2.0,constant,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-96f088aa98b05a9a53565877.jpg,xray_header=Root=1-61d772d8-96f088aa98b05a9a53565877
