metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1641472700,10.000000,,,,,,,,,,,,,,,
vus_max,1641472700,130.000000,,,,,,,,,,,,,,,
vus,1641472701,10.000000,,,,,,,,,,,,,,,
vus_max,1641472701,130.000000,,,,,,,,,,,,,,,
http_reqs,1641472701,1.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
http_req_duration,1641472701,1837.510600,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
http_req_blocked,1641472701,235.388800,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
http_req_connecting,1641472701,4.610800,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
http_req_tls_handshaking,1641472701,196.665800,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
http_req_sending,1641472701,26.513300,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
http_req_waiting,1641472701,1810.437900,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
http_req_receiving,1641472701,0.559400,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
http_req_failed,1641472701,0.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-a19c92b80a1ceca32a69dbf5.jpg,xray_header=Root=1-61d6e2bb-a19c92b80a1ceca32a69dbf5
checks,1641472701,1.000000,status is 200,,,,,,,,stage_1,,,,,,
data_sent,1641472701,168188.000000,,,,,,,,,stage_1,,,,,,
data_received,1641472701,6317.000000,,,,,,,,,stage_1,,,,,,
iteration_duration,1641472701,2111.011200,,,,,,,,,stage_1,,,,,,
iterations,1641472701,1.000000,,,,,,,,,stage_1,,,,,,
http_reqs,1641472701,1.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
http_req_duration,1641472701,546.870500,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
http_req_blocked,1641472701,27.903400,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
http_req_connecting,1641472701,10.327300,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
http_req_tls_handshaking,1641472701,16.914100,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
http_req_sending,1641472701,26.151700,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
http_req_waiting,1641472701,520.365800,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
http_req_receiving,1641472701,0.353000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
http_req_failed,1641472701,0.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-d0c10c1e46d9639ef140b130.jpg,xray_header=Root=1-61d6e2bd-d0c10c1e46d9639ef140b130
checks,1641472701,1.000000,status is 200,,,,,,,,stage_1,,,,,,
data_sent,1641472701,168210.000000,,,,,,,,,stage_1,,,,,,
data_received,1641472701,6424.000000,,,,,,,,,stage_1,,,,,,
iteration_duration,1641472701,576.323400,,,,,,,,,stage_1,,,,,,
iterations,1641472701,1.000000,,,,,,,,,stage_1,,,,,,
vus,1641472702,10.000000,,,,,,,,,,,,,,,
vus_max,1641472702,130.000000,,,,,,,,,,,,,,,
http_reqs,1641472702,1.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
http_req_duration,1641472702,1949.231300,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
http_req_blocked,1641472702,26.902800,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
http_req_connecting,1641472702,14.092700,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
http_req_tls_handshaking,1641472702,12.451200,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
http_req_sending,1641472702,23.882900,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
http_req_waiting,1641472702,1924.794600,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
http_req_receiving,1641472702,0.553800,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
http_req_failed,1641472702,0.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-bf5534f1d28417a9c8e11b7b.jpg,xray_header=Root=1-61d6e2bc-bf5534f1d28417a9c8e11b7b
checks,1641472702,1.000000,status is 200,,,,,,,,stage_1,,,,,,
data_sent,1641472702,168181.000000,,,,,,,,,stage_1,,,,,,
data_received,1641472702,6319.000000,,,,,,,,,stage_1,,,,,,
iteration_duration,1641472702,2012.266100,,,,,,,,,stage_1,,,,,,
iterations,1641472702,1.000000,,,,,,,,,stage_1,,,,,,
http_reqs,1641472702,1.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
http_req_duration,1641472702,614.057600,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
http_req_blocked,1641472702,30.011200,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
http_req_connecting,1641472702,10.512600,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
http_req_tls_handshaking,1641472702,17.994000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
http_req_sending,1641472702,25.006400,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
http_req_waiting,1641472702,588.851900,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
http_req_receiving,1641472702,0.199300,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
http_req_failed,1641472702,0.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-8f102cfcf1d58b4f7694912e.jpg,xray_header=Root=1-61d6e2be-8f102cfcf1d58b4f7694912e
checks,1641472702,1.000000,status is 200,,,,,,,,stage_1,,,,,,
data_sent,1641472702,168180.000000,,,,,,,,,stage_1,,,,,,
data_received,1641472702,6401.000000,,,,,,,,,stage_1,,,,,,
iteration_duration,1641472702,644.804200,,,,,,,,,stage_1,,,,,,
iterations,1641472702,1.000000,,,,,,,,,stage_1,,,,,,
vus,1641472703,10.000000,,,,,,,,,,,,,,,
vus_max,1641472703,130.000000,,,,,,,,,,,,,,,
http_reqs,1641472704,1.000000,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,xray_header=Root=1-61d6e2bf-c5546c06ebd073332d8b3f0a
http_req_duration,1641472704,697.779600,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,xray_header=Root=1-61d6e2bf-c5546c06ebd073332d8b3f0a
http_req_blocked,1641472704,31.138800,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,xray_header=Root=1-61d6e2bf-c5546c06ebd073332d8b3f0a
http_req_connecting,1641472704,11.235900,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,xray_header=Root=1-61d6e2bf-c5546c06ebd073332d8b3f0a
http_req_tls_handshaking,1641472704,19.205200,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,xray_header=Root=1-61d6e2bf-c5546c06ebd073332d8b3f0a
http_req_sending,1641472704,25.509200,,,,true,,POST,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,HTTP/2.0,stage_1,,200,,tls1.3,https://fyz6v4t3y4.execute-api.us-east-1.amazonaws.com/dev/upload?filename=img-c5546c06ebd073332d8b3f0a.jpg,xray_header=Root=1-61d6e2bf-c5546c06ebd073332d8b3f0a
