trace_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,f1_cold_start,f2_cold_start
1-61d6e2dc-b442f34cc3bad4cee1313d54,2022-01-06 13:38:52.478000,2022-01-06 13:38:52.498000,2022-01-06 13:38:52.509080,2022-01-06 13:38:52.509669,2022-01-06 13:38:52.511188,2022-01-06 13:38:52.600588,2022-01-06 13:38:54.360000,2022-01-06 13:38:54.674014,2022-01-06 13:38:54.676059,2022-01-06 13:38:54.695260,2022-01-06 13:38:54.745703,2022-01-06 13:38:54.748138,2022-01-06 13:38:54.782148,0,0
1-61d6e301-9737bf8178a2cd88c288611a,2022-01-06 13:39:29.803000,2022-01-06 13:39:29.819000,2022-01-06 13:39:29.830403,2022-01-06 13:39:29.830875,2022-01-06 13:39:29.831857,2022-01-06 13:39:29.933591,2022-01-06 13:39:31.620000,2022-01-06 13:39:31.681717,2022-01-06 13:39:31.682720,2022-01-06 13:39:31.702231,2022-01-06 13:39:31.725356,2022-01-06 13:39:31.726478,2022-01-06 13:39:31.753678,0,0
1-61d6e2e7-c398c5c09210957e62254ad3,2022-01-06 13:39:04.088000,2022-01-06 13:39:04.104000,2022-01-06 13:39:04.112557,2022-01-06 13:39:04.113147,2022-01-06 13:39:04.114237,2022-01-06 13:39:04.186780,2022-01-06 13:39:05.366000,2022-01-06 13:39:05.454816,2022-01-06 13:39:05.456001,2022-01-06 13:39:05.474926,2022-01-06 13:39:05.498529,2022-01-06 13:39:05.499817,2022-01-06 13:39:05.538244,0,0
1-61d6e2d9-21d9d354ced06d4b0ae8f6ae,2022-01-06 13:38:49.767000,2022-01-06 13:38:49.783000,2022-01-06 13:38:49.794179,2022-01-06 13:38:49.794767,2022-01-06 13:38:49.795795,2022-01-06 13:38:50.303484,2022-01-06 13:38:51.566000,2022-01-06 13:38:51.668037,2022-01-06 13:38:51.670784,2022-01-06 13:38:51.696485,2022-01-06 13:38:51.745717,2022-01-06 13:38:51.747961,2022-01-06 13:38:51.776608,0,0
1-61d6e2e4-8596f50436ba948acc25472a,2022-01-06 13:39:01.088000,2022-01-06 13:39:01.112000,2022-01-06 13:39:01.122197,2022-01-06 13:39:01.122921,2022-01-06 13:39:01.123952,2022-01-06 13:39:01.165897,2022-01-06 13:39:01.998000,2022-01-06 13:39:02.126261,2022-01-06 13:39:02.127351,2022-01-06 13:39:02.147048,2022-01-06 13:39:02.188161,2022-01-06 13:39:02.189605,2022-01-06 13:39:02.227370,0,0
1-61d6e2dd-23046f7ba38e3c83d444cc8b,2022-01-06 13:38:53.646000,2022-01-06 13:38:53.665000,2022-01-06 13:38:53.678153,2022-01-06 13:38:53.678764,2022-01-06 13:38:53.679789,2022-01-06 13:38:53.749662,2022-01-06 13:38:55.072000,2022-01-06 13:38:55.143998,2022-01-06 13:38:55.145787,2022-01-06 13:38:55.171423,2022-01-06 13:38:55.196620,2022-01-06 13:38:55.197940,2022-01-06 13:38:55.233874,0,0
1-61d6e2f6-fcbb4c687008e0880bfbd4ef,2022-01-06 13:39:18.331000,2022-01-06 13:39:18.348000,2022-01-06 13:39:18.358150,2022-01-06 13:39:18.358666,2022-01-06 13:39:18.359642,2022-01-06 13:39:18.394257,2022-01-06 13:39:20.182000,2022-01-06 13:39:20.303833,2022-01-06 13:39:20.304920,2022-01-06 13:39:20.352188,2022-01-06 13:39:20.378062,2022-01-06 13:39:20.379493,2022-01-06 13:39:20.440103,0,0
1-61d6e2d6-abb4a6f1bdcd954e5ef83cd8,2022-01-06 13:38:47.512000,2022-01-06 13:38:47.526000,2022-01-06 13:38:47.536696,2022-01-06 13:38:47.537390,2022-01-06 13:38:47.539673,2022-01-06 13:38:47.583554,2022-01-06 13:38:48.512000,2022-01-06 13:38:48.584365,2022-01-06 13:38:48.586766,2022-01-06 13:38:48.606821,2022-01-06 13:38:48.651290,2022-01-06 13:38:48.661931,2022-01-06 13:38:48.703240,0,0
1-61d6e2fa-b3917148a9a48b7807e376df,2022-01-06 13:39:22.597000,2022-01-06 13:39:22.614000,2022-01-06 13:39:22.621787,2022-01-06 13:39:22.622321,2022-01-06 13:39:22.623294,2022-01-06 13:39:22.703418,2022-01-06 13:39:24.421000,2022-01-06 13:39:24.489626,2022-01-06 13:39:24.490947,2022-01-06 13:39:24.508479,2022-01-06 13:39:24.533066,2022-01-06 13:39:24.534383,2022-01-06 13:39:24.568796,0,0
1-61d6e2d4-d54d4369f3b6a59a2d9576c6,2022-01-06 13:38:45.542000,2022-01-06 13:38:45.556000,2022-01-06 13:38:45.566949,2022-01-06 13:38:45.567898,2022-01-06 13:38:45.570112,2022-01-06 13:38:45.605396,2022-01-06 13:38:47.142000,2022-01-06 13:38:47.218853,2022-01-06 13:38:47.220030,2022-01-06 13:38:47.239977,2022-01-06 13:38:47.263540,2022-01-06 13:38:47.264814,2022-01-06 13:38:47.355020,0,0
