trace_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,f1_cold_start,f2_cold_start
1-61d712c3-4dcb90136526ac49f8739abe,2022-01-06 17:03:16.220000,2022-01-06 17:03:16.246000,2022-01-06 17:03:16.257984,2022-01-06 17:03:16.258627,2022-01-06 17:03:16.262001,2022-01-06 17:03:16.351224,2022-01-06 17:03:17.402000,2022-01-06 17:03:17.542445,2022-01-06 17:03:17.543769,2022-01-06 17:03:17.565458,2022-01-06 17:03:17.677164,2022-01-06 17:03:17.678658,2022-01-06 17:03:17.710363,0,0
1-61d712c4-ecfd2226ba6458f9705f48d5,2022-01-06 17:03:17.119000,2022-01-06 17:03:17.138000,2022-01-06 17:03:17.153227,2022-01-06 17:03:17.153838,2022-01-06 17:03:17.155267,2022-01-06 17:03:17.226570,2022-01-06 17:03:18.116000,2022-01-06 17:03:18.200089,2022-01-06 17:03:18.201568,2022-01-06 17:03:18.222895,2022-01-06 17:03:18.248842,2022-01-06 17:03:18.250103,2022-01-06 17:03:18.282049,0,0
1-61d712c5-56f9eca26b95130af1b0b816,2022-01-06 17:03:17.339000,2022-01-06 17:03:17.356000,2022-01-06 17:03:17.368196,2022-01-06 17:03:17.368932,2022-01-06 17:03:17.371284,2022-01-06 17:03:17.438772,2022-01-06 17:03:18.114000,2022-01-06 17:03:18.189032,2022-01-06 17:03:18.190565,2022-01-06 17:03:18.207281,2022-01-06 17:03:18.235416,2022-01-06 17:03:18.236722,2022-01-06 17:03:18.263803,0,0
1-61d712cc-8489a6af9e11492b3fa3b53f,2022-01-06 17:03:24.899000,2022-01-06 17:03:24.916000,2022-01-06 17:03:24.926782,2022-01-06 17:03:24.927378,2022-01-06 17:03:24.928862,2022-01-06 17:03:24.970080,2022-01-06 17:03:26.084000,2022-01-06 17:03:26.213724,2022-01-06 17:03:26.215197,2022-01-06 17:03:26.232477,2022-01-06 17:03:26.277627,2022-01-06 17:03:26.279183,2022-01-06 17:03:26.318342,0,0
1-61d712b7-7d468d1b7419a505e3dd73a7,2022-01-06 17:03:03.862000,2022-01-06 17:03:03.878000,2022-01-06 17:03:03.891444,2022-01-06 17:03:03.894995,2022-01-06 17:03:03.896939,2022-01-06 17:03:03.933548,2022-01-06 17:03:05.089000,2022-01-06 17:03:05.165193,2022-01-06 17:03:05.166329,2022-01-06 17:03:05.187385,2022-01-06 17:03:05.212422,2022-01-06 17:03:05.213615,2022-01-06 17:03:05.247408,0,0
1-61d712c9-be74b266b9910be5b622cf98,2022-01-06 17:03:21.467000,2022-01-06 17:03:21.482000,2022-01-06 17:03:21.490767,2022-01-06 17:03:21.491397,2022-01-06 17:03:21.492932,2022-01-06 17:03:21.553294,2022-01-06 17:03:22.368000,2022-01-06 17:03:22.493528,2022-01-06 17:03:22.495245,2022-01-06 17:03:22.516172,2022-01-06 17:03:22.541141,2022-01-06 17:03:22.542380,2022-01-06 17:03:22.569031,0,0
1-61d712c2-ca1ee896910f6f526b3df4ae,2022-01-06 17:03:15.132000,2022-01-06 17:03:15.149000,2022-01-06 17:03:15.160373,2022-01-06 17:03:15.161206,2022-01-06 17:03:15.163560,2022-01-06 17:03:15.280541,2022-01-06 17:03:16.447000,2022-01-06 17:03:16.533077,2022-01-06 17:03:16.535322,2022-01-06 17:03:16.571596,2022-01-06 17:03:16.595557,2022-01-06 17:03:16.597009,2022-01-06 17:03:16.627729,0,0
1-61d712b2-46d81be478cffe47415e7448,2022-01-06 17:02:58.749000,2022-01-06 17:02:58.768000,2022-01-06 17:02:58.782975,2022-01-06 17:02:58.783586,2022-01-06 17:02:58.784618,2022-01-06 17:02:58.825823,2022-01-06 17:02:59.911000,2022-01-06 17:03:00.009848,2022-01-06 17:03:00.011165,2022-01-06 17:03:00.066077,2022-01-06 17:03:00.184591,2022-01-06 17:03:00.185932,2022-01-06 17:03:00.259176,0,0
1-61d712c4-a7a089121f3298fdecd2c352,2022-01-06 17:03:16.638000,2022-01-06 17:03:16.655000,2022-01-06 17:03:16.664578,2022-01-06 17:03:16.665409,2022-01-06 17:03:16.667192,2022-01-06 17:03:16.702301,2022-01-06 17:03:18.175000,2022-01-06 17:03:18.319087,2022-01-06 17:03:18.320957,2022-01-06 17:03:18.341930,2022-01-06 17:03:18.367188,2022-01-06 17:03:18.368555,2022-01-06 17:03:18.403337,0,0
1-61d712b2-0fa1408b170f5792bf3d846a,2022-01-06 17:02:59.353000,2022-01-06 17:02:59.377000,2022-01-06 17:02:59.944543,2022-01-06 17:02:59.957047,2022-01-06 17:03:00.106782,2022-01-06 17:03:00.435456,2022-01-06 17:03:02.065000,2022-01-06 17:03:02.237207,2022-01-06 17:03:02.238494,2022-01-06 17:03:02.256114,2022-01-06 17:03:02.280562,2022-01-06 17:03:02.281913,2022-01-06 17:03:02.317753,1,0
1-61d712b3-a19ae6f35b2342ef841172f5,2022-01-06 17:02:59.404000,2022-01-06 17:02:59.420000,2022-01-06 17:02:59.446188,2022-01-06 17:02:59.447227,2022-01-06 17:02:59.451048,2022-01-06 17:02:59.494812,2022-01-06 17:03:01.092000,2022-01-06 17:03:01.163928,2022-01-06 17:03:01.165913,2022-01-06 17:03:01.187232,2022-01-06 17:03:01.245223,2022-01-06 17:03:01.253280,2022-01-06 17:03:01.308911,0,0
1-61d712c3-2af54f2a451ee0ebe858e9d3,2022-01-06 17:03:15.783000,2022-01-06 17:03:15.799000,2022-01-06 17:03:15.810517,2022-01-06 17:03:15.811284,2022-01-06 17:03:15.812982,2022-01-06 17:03:15.857836,2022-01-06 17:03:16.993000,2022-01-06 17:03:17.080735,2022-01-06 17:03:17.084850,2022-01-06 17:03:17.106995,2022-01-06 17:03:17.230015,2022-01-06 17:03:17.232503,2022-01-06 17:03:17.271125,0,0
1-61d712b4-16e18fda5bf59be53e619f96,2022-01-06 17:03:00.720000,2022-01-06 17:03:00.735000,2022-01-06 17:03:00.749463,2022-01-06 17:03:00.750407,2022-01-06 17:03:00.756849,2022-01-06 17:03:00.793106,2022-01-06 17:03:02.094000,2022-01-06 17:03:02.777650,2022-01-06 17:03:02.927255,2022-01-06 17:03:03.223966,2022-01-06 17:03:03.572901,2022-01-06 17:03:03.589167,2022-01-06 17:03:03.659122,0,1
1-61d712b3-e11a7d63b436086c97733abe,2022-01-06 17:02:59.993000,2022-01-06 17:03:00.008000,2022-01-06 17:03:00.045523,2022-01-06 17:03:00.046385,2022-01-06 17:03:00.048246,2022-01-06 17:03:00.112630,2022-01-06 17:03:01.054000,2022-01-06 17:03:01.716348,2022-01-06 17:03:01.846786,2022-01-06 17:03:02.165855,2022-01-06 17:03:02.503591,2022-01-06 17:03:02.515307,2022-01-06 17:03:02.595898,0,1
1-61d712b5-b832bdc24cf19d39ce0d35d3,2022-01-06 17:03:02.175000,2022-01-06 17:03:02.191000,2022-01-06 17:03:02.200972,2022-01-06 17:03:02.201801,2022-01-06 17:03:02.203770,2022-01-06 17:03:02.249567,2022-01-06 17:03:03.893000,2022-01-06 17:03:03.954318,2022-01-06 17:03:03.955643,2022-01-06 17:03:03.984810,2022-01-06 17:03:04.135547,2022-01-06 17:03:04.136930,2022-01-06 17:03:04.168076,0,0
1-61d712d3-347823abe5dda00c6b77587c,2022-01-06 17:03:31.859000,2022-01-06 17:03:31.874000,2022-01-06 17:03:31.882618,2022-01-06 17:03:31.883217,2022-01-06 17:03:31.884679,2022-01-06 17:03:31.926110,2022-01-06 17:03:33.751000,2022-01-06 17:03:33.819004,2022-01-06 17:03:33.820102,2022-01-06 17:03:33.870097,2022-01-06 17:03:33.895042,2022-01-06 17:03:33.896190,2022-01-06 17:03:34.014840,0,0
