trace_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,f1_cold_start,f2_cold_start
1-61d6b966-05690fcad3d404ebf5ba0e99,2022-01-06 10:41:58.760000,2022-01-06 10:41:58.780000,2022-01-06 10:41:58.788062,2022-01-06 10:41:58.788633,2022-01-06 10:41:58.791808,2022-01-06 10:41:58.821726,2022-01-06 10:41:59.545000,2022-01-06 10:41:59.629732,2022-01-06 10:41:59.630700,2022-01-06 10:41:59.647885,2022-01-06 10:41:59.674282,2022-01-06 10:41:59.675323,2022-01-06 10:41:59.704364,0,0
1-61d6b8b0-195181442b20d2dd6b756120,2022-01-06 10:38:57.406000,2022-01-06 10:38:57.422000,2022-01-06 10:38:57.433059,2022-01-06 10:38:57.433703,2022-01-06 10:38:57.434766,2022-01-06 10:38:57.647915,2022-01-06 10:38:59.392000,2022-01-06 10:38:59.471178,2022-01-06 10:38:59.475405,2022-01-06 10:38:59.500963,2022-01-06 10:38:59.648213,2022-01-06 10:38:59.650437,2022-01-06 10:38:59.699804,0,0
1-61d6b9af-ec05eb00c3eeb26d6ff4230e,2022-01-06 10:43:12.085000,2022-01-06 10:43:12.100000,2022-01-06 10:43:12.110205,2022-01-06 10:43:12.110793,2022-01-06 10:43:12.111881,2022-01-06 10:43:12.177707,2022-01-06 10:43:13.308000,2022-01-06 10:43:13.425651,2022-01-06 10:43:13.426680,2022-01-06 10:43:13.483707,2022-01-06 10:43:13.512151,2022-01-06 10:43:13.513179,2022-01-06 10:43:13.572509,0,0
1-61d6b8f9-dc2e2b01962a29f767973ed1,2022-01-06 10:40:10.296000,2022-01-06 10:40:10.313000,2022-01-06 10:40:10.322807,2022-01-06 10:40:10.323377,2022-01-06 10:40:10.324338,2022-01-06 10:40:10.370757,2022-01-06 10:40:11.456000,2022-01-06 10:40:11.519474,2022-01-06 10:40:11.521330,2022-01-06 10:40:11.539904,2022-01-06 10:40:11.563671,2022-01-06 10:40:11.564990,2022-01-06 10:40:11.593868,0,0
1-61d6b947-3b6cadd56fa7ebd36491a36b,2022-01-06 10:41:28.206000,2022-01-06 10:41:28.223000,2022-01-06 10:41:28.233889,2022-01-06 10:41:28.234387,2022-01-06 10:41:28.235346,2022-01-06 10:41:28.317089,2022-01-06 10:41:29.625000,2022-01-06 10:41:29.710087,2022-01-06 10:41:29.710990,2022-01-06 10:41:29.732170,2022-01-06 10:41:29.757356,2022-01-06 10:41:29.758443,2022-01-06 10:41:29.802018,0,0
1-61d6b988-1ac2de7983050526025e4cb2,2022-01-06 10:42:32.920000,2022-01-06 10:42:32.936000,2022-01-06 10:42:32.946406,2022-01-06 10:42:32.946887,2022-01-06 10:42:32.947848,2022-01-06 10:42:33.014919,2022-01-06 10:42:34.307000,2022-01-06 10:42:34.404728,2022-01-06 10:42:34.405758,2022-01-06 10:42:34.424617,2022-01-06 10:42:34.450954,2022-01-06 10:42:34.452008,2022-01-06 10:42:34.479827,0,0
1-61d6b95a-a603238b836f44267c1d2b44,2022-01-06 10:41:47.185000,2022-01-06 10:41:47.203000,2022-01-06 10:41:47.212926,2022-01-06 10:41:47.213448,2022-01-06 10:41:47.214437,2022-01-06 10:41:47.247280,2022-01-06 10:41:48.451000,2022-01-06 10:41:48.513085,2022-01-06 10:41:48.514047,2022-01-06 10:41:48.534520,2022-01-06 10:41:48.560049,2022-01-06 10:41:48.561106,2022-01-06 10:41:48.588259,0,0
1-61d6b997-c045c9796748776ec9ff3135,2022-01-06 10:42:47.909000,2022-01-06 10:42:47.926000,2022-01-06 10:42:47.935331,2022-01-06 10:42:47.935832,2022-01-06 10:42:47.936850,2022-01-06 10:42:48.023778,2022-01-06 10:42:49.233000,2022-01-06 10:42:49.303339,2022-01-06 10:42:49.304271,2022-01-06 10:42:49.329223,2022-01-06 10:42:49.357361,2022-01-06 10:42:49.358397,2022-01-06 10:42:49.390636,0,0
1-61d6b979-ca53f2b4f4c93704731bf6cd,2022-01-06 10:42:18.150000,2022-01-06 10:42:18.165000,2022-01-06 10:42:18.174261,2022-01-06 10:42:18.174729,2022-01-06 10:42:18.175783,2022-01-06 10:42:18.239148,2022-01-06 10:42:19.724000,2022-01-06 10:42:19.789737,2022-01-06 10:42:19.790654,2022-01-06 10:42:19.840208,2022-01-06 10:42:19.865344,2022-01-06 10:42:19.866372,2022-01-06 10:42:19.897153,0,0
1-61d6b9ca-f07ba6031a1e96803f3e68c1,2022-01-06 10:43:39.057000,2022-01-06 10:43:39.069000,2022-01-06 10:43:39.077919,2022-01-06 10:43:39.078419,2022-01-06 10:43:39.079418,2022-01-06 10:43:39.164591,2022-01-06 10:43:40.749000,2022-01-06 10:43:40.806860,2022-01-06 10:43:40.807792,2022-01-06 10:43:40.828142,2022-01-06 10:43:40.853503,2022-01-06 10:43:40.854535,2022-01-06 10:43:40.906309,0,0
