trace_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,f1_cold_start,f2_cold_start
1-61d72ca9-bae147303e9191c2a81395c3,2022-01-06 18:53:45.688000,2022-01-06 18:53:45.706000,2022-01-06 18:53:45.741426,2022-01-06 18:53:45.742063,2022-01-06 18:53:45.743419,2022-01-06 18:53:45.778068,2022-01-06 18:53:47.077000,2022-01-06 18:53:47.150080,2022-01-06 18:53:47.151450,2022-01-06 18:53:47.173551,2022-01-06 18:53:47.285583,2022-01-06 18:53:47.286932,2022-01-06 18:53:47.318848,0,0
1-61d72ca8-3a1bc6a5dfb039285fc1df1b,2022-01-06 18:53:45.126000,2022-01-06 18:53:45.141000,2022-01-06 18:53:45.164191,2022-01-06 18:53:45.164895,2022-01-06 18:53:45.166170,2022-01-06 18:53:45.338098,2022-01-06 18:53:46.029000,2022-01-06 18:53:46.173493,2022-01-06 18:53:46.174684,2022-01-06 18:53:46.264775,2022-01-06 18:53:46.309667,2022-01-06 18:53:46.311407,2022-01-06 18:53:46.346272,0,0
1-61d72ca8-8502beeaee517d16dc06ff24,2022-01-06 18:53:44.954000,2022-01-06 18:53:44.973000,2022-01-06 18:53:44.983518,2022-01-06 18:53:44.984163,2022-01-06 18:53:44.985491,2022-01-06 18:53:45.017904,2022-01-06 18:53:45.961000,2022-01-06 18:53:46.612950,2022-01-06 18:53:46.754294,2022-01-06 18:53:47.084810,2022-01-06 18:53:47.446486,2022-01-06 18:53:47.458743,2022-01-06 18:53:47.531634,0,1
1-61d72cab-8f50f7ee419a20c53d4481a6,2022-01-06 18:53:47.609000,2022-01-06 18:53:47.626000,2022-01-06 18:53:47.642948,2022-01-06 18:53:47.643580,2022-01-06 18:53:47.644598,2022-01-06 18:53:47.672165,2022-01-06 18:53:49.528000,2022-01-06 18:53:49.625133,2022-01-06 18:53:49.626415,2022-01-06 18:53:49.643396,2022-01-06 18:53:49.750939,2022-01-06 18:53:49.752276,2022-01-06 18:53:49.777974,0,0
1-61d72cab-7dc962a697e1f70cc9bf753a,2022-01-06 18:53:47.222000,2022-01-06 18:53:47.234000,2022-01-06 18:53:47.248833,2022-01-06 18:53:47.249747,2022-01-06 18:53:47.251937,2022-01-06 18:53:47.291370,2022-01-06 18:53:48.276000,2022-01-06 18:53:48.427019,2022-01-06 18:53:48.428335,2022-01-06 18:53:48.449466,2022-01-06 18:53:48.562828,2022-01-06 18:53:48.564101,2022-01-06 18:53:48.607357,0,0
1-61d72caa-0d6f7d2aefdaddedeefc3a9a,2022-01-06 18:53:46.245000,2022-01-06 18:53:46.261000,2022-01-06 18:53:46.275229,2022-01-06 18:53:46.276874,2022-01-06 18:53:46.279003,2022-01-06 18:53:46.357512,2022-01-06 18:53:47.113000,2022-01-06 18:53:47.279342,2022-01-06 18:53:47.280675,2022-01-06 18:53:47.302255,2022-01-06 18:53:47.326044,2022-01-06 18:53:47.327322,2022-01-06 18:53:47.355414,0,0
1-61d72ca9-d93275c01a32ed2fd82b5e51,2022-01-06 18:53:45.778000,2022-01-06 18:53:45.796000,2022-01-06 18:53:45.811357,2022-01-06 18:53:45.812609,2022-01-06 18:53:45.815773,2022-01-06 18:53:45.882164,2022-01-06 18:53:47.102000,2022-01-06 18:53:47.832384,2022-01-06 18:53:47.999127,2022-01-06 18:53:48.321937,2022-01-06 18:53:48.698875,2022-01-06 18:53:48.712404,2022-01-06 18:53:48.804948,0,1
1-61d72cd2-c0acef30eb6299ecdd5ba60d,2022-01-06 18:54:27.111000,2022-01-06 18:54:27.129000,2022-01-06 18:54:27.139626,2022-01-06 18:54:27.140241,2022-01-06 18:54:27.141736,2022-01-06 18:54:27.172566,2022-01-06 18:54:28.456000,2022-01-06 18:54:28.528321,2022-01-06 18:54:28.529642,2022-01-06 18:54:28.564068,2022-01-06 18:54:28.588847,2022-01-06 18:54:28.590223,2022-01-06 18:54:28.619369,0,0
1-61d72ca7-09e6c860d4084c466fb94322,2022-01-06 18:53:43.969000,2022-01-06 18:53:43.984000,2022-01-06 18:53:44.594255,2022-01-06 18:53:44.607355,2022-01-06 18:53:44.761944,2022-01-06 18:53:45.142661,2022-01-06 18:53:45.976000,2022-01-06 18:53:46.704357,2022-01-06 18:53:46.854510,2022-01-06 18:53:47.193593,2022-01-06 18:53:47.566098,2022-01-06 18:53:47.578747,2022-01-06 18:53:47.667921,1,1
1-61d72cb5-493f10105c3038798bc1dfff,2022-01-06 18:53:58.177000,2022-01-06 18:53:58.194000,2022-01-06 18:53:58.209805,2022-01-06 18:53:58.210668,2022-01-06 18:53:58.212442,2022-01-06 18:53:58.278848,2022-01-06 18:53:58.735000,2022-01-06 18:53:58.813215,2022-01-06 18:53:58.815000,2022-01-06 18:53:58.846585,2022-01-06 18:53:58.869796,2022-01-06 18:53:58.871042,2022-01-06 18:53:58.902966,0,0
1-61d72cab-7c5fddf71ee4bb9005708ee4,2022-01-06 18:53:47.811000,2022-01-06 18:53:47.823000,2022-01-06 18:53:47.834856,2022-01-06 18:53:47.835859,2022-01-06 18:53:47.837635,2022-01-06 18:53:47.958613,2022-01-06 18:53:49.654000,2022-01-06 18:53:49.814904,2022-01-06 18:53:49.817253,2022-01-06 18:53:49.837027,2022-01-06 18:53:49.862385,2022-01-06 18:53:49.864000,2022-01-06 18:53:49.948626,0,0
